
SetupTitle, SET+RESET
DataValue, 1.1300000000000001, 2.56581E-05
DataValue, 1.1400000000000001, 2.9759400000000002E-05
DataValue, 1.1500000000000001, 2.77363E-05
DataValue, 1.1600000000000001, 2.9059800000000003E-05
DataValue, 1.1700000000000002, 3.25078E-05
DataValue, 1.1800000000000002, 4.27428E-05
DataValue, 1.19, 5.7111900000000005E-05
DataValue, 1.2, 9.99992E-05
DataValue, 1.21, 9.999910000000001E-05
DataValue, 1.22, 9.999910000000001E-05
DataValue, 1.23, 9.999910000000001E-05
DataValue, 1.24, 9.99992E-05
DataValue, 1.25, 9.99992E-05
DataValue, 1.26, 9.999910000000001E-05
DataValue, 1.27, 9.99992E-05
DataValue, 1.28, 9.99992E-05
DataValue, 1.29, 9.999910000000001E-05
DataValue, 1.3, 9.999910000000001E-05
DataValue, 1.31, 9.99992E-05
DataValue, 1.32, 9.999910000000001E-05
DataValue, 1.33, 9.999910000000001E-05
DataValue, 1.34, 9.99992E-05
DataValue, 1.35, 9.999910000000001E-05
DataValue, 1.36, 9.999910000000001E-05
DataValue, 1.37, 9.99992E-05
DataValue, 1.3800000000000001, 9.99992E-05
DataValue, 1.3900000000000001, 9.999910000000001E-05
DataValue, 1.4000000000000001, 9.9999E-05
DataValue, 1.4100000000000001, 9.99992E-05
DataValue, 1.4200000000000002, 9.99992E-05
DataValue, 1.4300000000000002, 9.99992E-05
DataValue, 1.4400000000000002, 9.99992E-05
DataValue, 1.4500000000000002, 9.99992E-05
DataValue, 1.46, 9.999910000000001E-05
DataValue, 1.47, 9.99992E-05
DataValue, 1.48, 9.99992E-05
DataValue, 1.49, 9.99992E-05
DataValue, 1.5, 9.99992E-05
DataValue, 1.51, 9.99992E-05
DataValue, 1.52, 9.999910000000001E-05
DataValue, 1.53, 9.99992E-05
DataValue, 1.54, 9.999910000000001E-05
DataValue, 1.55, 9.99992E-05
DataValue, 1.56, 9.99992E-05
DataValue, 1.57, 9.99992E-05
DataValue, 1.58, 9.999910000000001E-05
DataValue, 1.59, 9.99992E-05
DataValue, 1.6, 9.99992E-05
DataValue, 1.61, 9.99992E-05
DataValue, 1.62, 9.99992E-05
DataValue, 1.6300000000000001, 9.99992E-05
DataValue, 1.6400000000000001, 9.99992E-05
DataValue, 1.6500000000000001, 9.999930000000001E-05
DataValue, 1.6600000000000001, 9.99992E-05
DataValue, 1.6700000000000002, 9.99992E-05
DataValue, 1.6800000000000002, 9.99992E-05
DataValue, 1.6900000000000002, 9.999910000000001E-05
DataValue, 1.7000000000000002, 9.99992E-05
DataValue, 1.7100000000000002, 9.99992E-05
DataValue, 1.72, 9.99992E-05
DataValue, 1.73, 9.99992E-05
DataValue, 1.74, 9.99992E-05
DataValue, 1.75, 9.99992E-05
DataValue, 1.76, 9.99992E-05
DataValue, 1.77, 9.99992E-05
DataValue, 1.78, 9.99992E-05
DataValue, 1.79, 9.999910000000001E-05
DataValue, 1.8, 9.99992E-05
DataValue, 1.81, 9.99992E-05
DataValue, 1.82, 9.99992E-05
DataValue, 1.83, 9.99992E-05
DataValue, 1.84, 9.99992E-05
DataValue, 1.85, 9.99992E-05
DataValue, 1.86, 9.99992E-05
DataValue, 1.87, 9.99992E-05
DataValue, 1.8800000000000001, 9.99992E-05
DataValue, 1.8900000000000001, 9.99992E-05
DataValue, 1.9000000000000001, 9.99992E-05
DataValue, 1.9100000000000001, 9.999930000000001E-05
DataValue, 1.9200000000000002, 9.99992E-05
DataValue, 1.9300000000000002, 9.99992E-05
DataValue, 1.9400000000000002, 9.99992E-05
DataValue, 1.9500000000000002, 9.999930000000001E-05
DataValue, 1.9600000000000002, 9.99992E-05
DataValue, 1.9700000000000002, 9.99992E-05
DataValue, 1.9800000000000002, 9.99992E-05
DataValue, 1.99, 9.999930000000001E-05
DataValue, 2, 9.999910000000001E-05
DataValue, 1.99, 9.99992E-05
DataValue, 1.9800000000000002, 9.999930000000001E-05
DataValue, 1.9700000000000002, 9.99992E-05
DataValue, 1.9600000000000002, 9.99992E-05
DataValue, 1.9500000000000002, 9.99992E-05
DataValue, 1.9400000000000002, 9.99992E-05
DataValue, 1.9300000000000002, 9.99992E-05
DataValue, 1.9200000000000002, 9.99992E-05
DataValue, 1.9100000000000001, 9.99992E-05
DataValue, 1.9000000000000001, 9.999930000000001E-05
DataValue, 1.8900000000000001, 9.99992E-05
DataValue, 1.8800000000000001, 9.99992E-05
DataValue, 1.87, 9.99992E-05
DataValue, 1.86, 9.99992E-05
DataValue, 1.85, 9.99992E-05
DataValue, 1.84, 9.99992E-05
DataValue, 1.83, 9.999930000000001E-05
DataValue, 1.82, 9.99992E-05
DataValue, 1.81, 9.99992E-05
DataValue, 1.8, 9.999930000000001E-05
DataValue, 1.79, 9.99992E-05
DataValue, 1.78, 9.99992E-05
DataValue, 1.77, 9.99992E-05
DataValue, 1.76, 9.99992E-05
DataValue, 1.75, 9.99992E-05
DataValue, 1.74, 9.999910000000001E-05
DataValue, 1.73, 9.99992E-05
DataValue, 1.72, 9.99992E-05
DataValue, 1.7100000000000002, 9.999910000000001E-05
DataValue, 1.7000000000000002, 9.99992E-05
